case_id,root_cause,confidence,osi_layer,evidence,next_command,fix_steps_json
C001,"Fa0/2 is still in default VLAN 1 instead of VLAN 10, splitting PC1 and PC2 into different broadcast domains.",high,Layer 2,"show vlan brief lists Fa0/2 under VLAN1, not VLAN10; show run int fa0/2 confirms 'switchport access vlan 1'.",show vlan brief,"[""interface fa0/2"", ""switchport access vlan 10"", ""confirm with show vlan brief"", ""re-test ping PC1 to PC2""]"
C002,"VLAN 30 was assigned to ports but never created with the global 'vlan 30' command, so the ports are inactive.",high,Layer 2,show vlan brief has no VLAN30 entry at all even though fa0/5 is configured with 'switchport access vlan 30'.,show vlan brief,"[""vlan 30 (global config)"", ""name Sales"", ""exit"", ""confirm VLAN30 now shows ACTIVE"", ""re-test connectivity between the two ports""]"
C003,"The trunk between SW1 and SW2 is not carrying VLAN 20 at all, so VLAN 20 traffic never crosses the link.",medium,Layer 2,Both switches show VLAN20 configured locally; assumed the trunk's allowed-VLAN list excludes VLAN 20.,show interfaces trunk,"[""check switchport trunk allowed vlan on both ends"", ""add vlan 20 to the allowed list if missing"", ""re-test VLAN 20 connectivity across the trunk""]"
C004,Fa0/8 was never assigned to VLAN 40 and is sitting in default VLAN 1.,high,Layer 2,show vlan brief places fa0/8 under VLAN1; show run int fa0/8 has no access vlan command.,show vlan brief,"[""interface fa0/8"", ""switchport access vlan 40"", ""confirm with show vlan brief"", ""re-test printer reachability""]"
C005,Router subinterface Gi0/0.10 (the VLAN 10 gateway) is administratively shut down.,high,Layer 3,show ip interface brief shows Gi0/0.10 administratively down; show run confirms a 'shutdown' line under that subinterface.,show ip interface brief,"[""interface Gi0/0.10"", ""no shutdown"", ""confirm status is up/up"", ""re-test connectivity from VLAN 10 to other VLANs""]"
C006,PC3's default gateway (192.168.6.1) is on a different subnet than the router's real interface (192.168.5.1).,high,Layer 3,PC3 ipconfig gateway is 192.168.6.1 while R1 Gi0/1 is 192.168.5.1/24.,show ip interface brief,"[""reconfigure PC3's gateway to 192.168.5.1"", ""if via DHCP, fix the default-router option on the pool"", ""re-test off-subnet connectivity""]"
C007,The laptop's gateway address has a typo (172.16.1.001) and never matches the router's real interface (172.16.1.1).,high,Layer 3,Laptop ipconfig shows gateway 172.16.1.001 vs router Gi0/0 at 172.16.1.1.,ipconfig /all,"[""correct the static gateway to 172.16.1.1"", ""or switch the laptop to DHCP"", ""re-test connectivity beyond the local subnet""]"
C008,"Branch router Gi0/1, the LAN gateway interface, is line-protocol down.",high,Layer 1/2,show ip int brief reports Gi0/1 down/down; log shows %LINK-3-UPDOWN changed state to down.,show interfaces Gi0/1,"[""check the physical cable/SFP on Gi0/1"", ""reseat or replace the cable"", ""no shutdown if administratively disabled"", ""confirm up/up and re-test LAN connectivity""]"
C009,PC5's default gateway address is wrong; it should point at 192.168.20.1 like the router interface shows.,medium,Layer 3,PC5's gateway differs from what the router reports for that segment.,ipconfig /all,"[""reconfigure PC5's gateway to match the router interface"", ""re-test connectivity""]"
C010,"The DHCP scope for VLAN 50 is fully leased out (50/50), so new clients fall back to APIPA.",high,Layer 3,show ip dhcp pool LAB50 reports leased 50 of 50; debug shows DHCPDISCOVER with no addresses available.,show ip dhcp pool LAB50,"[""enlarge the DHCP pool's address range"", ""or shorten the lease time to recycle stale leases"", ""clear expired bindings with clear ip dhcp binding *"", ""re-test that new clients receive an address""]"
