case_id,category,severity,osi_layer,concept_tag,symptom,topology_note,show_output,expected_fault,host_ip,host_mask,gateway_ip_configured,router_interface_ip,router_interface_mask,interface_status,vlan_assigned_on_port,vlan_exists_on_switch,route_to_dest_present,duplicate_ip_flag
C001,VLAN,High,Layer 2,vlan-port-mismatch,"PC1 in office VLAN 10 cannot ping PC2 in the same office, both on SW1.","SW1 access ports Fa0/1 (PC1) and Fa0/2 (PC2), both meant to be VLAN 10.","show vlan brief: VLAN10 ACTIVE Fa0/1; Fa0/2 NOT listed under VLAN10, shows under VLAN1. show run int fa0/2: switchport access vlan 1.","Fa0/2 was left in default VLAN 1 instead of being assigned to VLAN 10, so PC2 is on a different broadcast domain than PC1.",10.10.10.11,255.255.255.0,10.10.10.1,10.10.10.1,255.255.255.0,up/up,1,10,n/a,False
C002,VLAN,Medium,Layer 2,vlan-not-created,"Two new PCs on SW2 cannot reach anything, including each other.",Ports Fa0/5 and Fa0/6 were configured for VLAN 30 (new Sales VLAN).,"show vlan brief: VLAN30 does not appear in the table at all. show run int fa0/5: switchport access vlan 30 (command accepted, but vlan 30 was never created with 'vlan 30' global command).","VLAN 30 was assigned to ports but never created on the switch, so those ports are effectively inactive/blackholed.",10.10.30.10,255.255.255.0,10.10.30.1,10.10.30.1,255.255.255.0,up/up,30,none,n/a,False
C003,VLAN,Medium,Layer 2,trunk-native-vlan-mismatch,VLAN 20 devices on SW1 can reach the router but VLAN 20 devices on SW2 cannot.,SW1-SW2 link is a trunk carrying VLAN 10/20/30.,SW1 show int trunk: Fa0/24 native vlan 1. SW2 show int trunk: Fa0/24 native vlan 99. CDP native VLAN mismatch warning logged.,Native VLAN mismatch on the trunk (VLAN 1 vs VLAN 99) is causing VLAN 20 traffic to be mishandled across the trunk.,10.10.20.15,255.255.255.0,10.10.20.1,10.10.20.1,255.255.255.0,up/up,20,20,n/a,False
C004,VLAN,Low,Layer 2,vlan-port-mismatch,Printer on Fa0/8 is unreachable from the Accounting VLAN.,Printer should be in VLAN 40 (Accounting) alongside the rest of the department.,show vlan brief: Fa0/8 listed under VLAN 1. show run int fa0/8: no switchport access vlan command present (still default).,Fa0/8 was never explicitly assigned to VLAN 40 and is still sitting in default VLAN 1.,10.10.40.50,255.255.255.0,10.10.40.1,10.10.40.1,255.255.255.0,up/up,1,40,n/a,False
C005,VLAN,High,Layer 2,vlan-interface-shutdown,Entire VLAN 10 subnet is unreachable from every other VLAN.,Router-on-a-stick with subinterfaces per VLAN on Gi0/0.,show ip interface brief: Gi0/0.10 10.10.10.1 administratively down. show run: interface Gi0/0.10 ... shutdown.,"The VLAN 10 router subinterface (Gi0/0.10) is administratively shut down, taking the whole VLAN off the network.",10.10.10.25,255.255.255.0,10.10.10.1,10.10.10.1,255.255.255.0,administratively down,10,10,n/a,False
C006,Gateway,High,Layer 3,gateway-wrong-subnet,PC3 can ping other hosts on its own subnet but nothing off-subnet.,PC3 is on 192.168.5.0/24 behind R1's Gi0/1.,"PC3 ipconfig: IP 192.168.5.50/24, gateway 192.168.6.1. R1 show ip int brief: Gi0/1 192.168.5.1/24 up/up.",PC3's default gateway (192.168.6.1) is not on its own subnet and does not match the router's real interface (192.168.5.1).,192.168.5.50,255.255.255.0,192.168.6.1,192.168.5.1,255.255.255.0,up/up,n/a,n/a,n/a,False
C007,Gateway,Medium,Layer 3,gateway-typo,New laptop can ping the router's LAN IP but not the internet or other VLANs.,Static IP was configured by hand on the laptop.,"Laptop ipconfig: IP 172.16.1.100/24, gateway 172.16.1.001 (typo, should be .1). Router Gi0/0: 172.16.1.1/24 up/up.",The gateway address was mistyped (172.16.1.001) so it never resolves to the router's real interface.,172.16.1.100,255.255.255.0,172.16.1.2,172.16.1.1,255.255.255.0,up/up,n/a,n/a,n/a,False
C008,Gateway,High,Layer 3,gateway-interface-down,Whole branch office lost connectivity to HQ at the same time.,Branch router R2 Gi0/1 is the LAN gateway for 10.20.0.0/24.,R2 show ip int brief: Gi0/1 10.20.0.1 down/down (line protocol down). show log: %LINK-3-UPDOWN Gi0/1 changed state to down.,"The gateway interface Gi0/1 itself is physically/line-protocol down, so no host behind it can reach anything.",10.20.0.40,255.255.255.0,10.20.0.1,10.20.0.1,255.255.255.0,down/down,n/a,n/a,n/a,False
C009,Gateway,Medium,Layer 3,gateway-mask-mismatch,PC5 can reach some hosts on its floor but not the gateway or anything beyond.,"Floor uses 192.168.20.0/25 (mask .128), split into two half-subnets.",PC5 ipconfig: IP 192.168.20.10/24 (should be /25). Router Gi0/2: 192.168.20.1/25.,"PC5 has the wrong subnet mask (/24 instead of /25), so it thinks the gateway is on-link when it is actually in a different /25 block on the wire.",192.168.20.10,255.255.255.0,192.168.20.1,192.168.20.1,255.255.255.128,up/up,n/a,n/a,n/a,False
C010,DHCP,Medium,Layer 3,dhcp-pool-exhausted,New PCs in the lab get an APIPA 169.254.x.x address instead of a real IP.,"Lab VLAN 50 uses DHCP pool LAB50, 50 addresses reserved.","show ip dhcp pool LAB50: leased 50, total 50 (0 available). debug ip dhcp server events: DHCPDISCOVER, no addresses available.","The DHCP scope for VLAN 50 is fully exhausted, so new clients fall back to APIPA.",169.254.12.34,255.255.0.0,0.0.0.0,10.10.50.1,255.255.255.0,up/up,50,50,n/a,False
C011,DHCP,High,Layer 3,dhcp-excluded-range-wrong,PC gets an IP that collides with the router's own interface address.,"Router Gi0/0 is 10.10.60.1, DHCP pool covers 10.10.60.0/24.",show run: ip dhcp excluded-address command is missing for 10.10.60.1-10.10.60.10. show ip dhcp binding: 10.10.60.1 leased to PC-MAC-aa:bb.,"The router's own gateway address was never excluded from the DHCP pool, so it was handed out to a client, creating an address conflict.",10.10.60.1,255.255.255.0,10.10.60.1,10.10.60.1,255.255.255.0,up/up,60,60,n/a,True
C012,DHCP,Medium,Layer 3,dhcp-relay-missing,Clients on a remote VLAN never get an address; DHCP server is centralized on another subnet.,"VLAN 70 clients, DHCP server lives on VLAN 1 attached to R1.",R1 show run int vlan70: no ip helper-address configured. debug ip dhcp: no DHCPDISCOVER ever reaches the server interface.,Missing 'ip helper-address' on the VLAN 70 gateway interface means broadcast DHCPDISCOVER packets never reach the remote DHCP server.,0.0.0.0,n/a,10.10.70.1,10.10.70.1,255.255.255.0,up/up,70,70,True,False
C013,DHCP,Low,Layer 3,dhcp-wrong-default-router-option,Clients get an IP address but internet browsing fails immediately.,DHCP pool LAB80 configured recently by a junior admin.,show run: ip dhcp pool LAB80 ... default-router 10.10.80.254 (router's real interface is 10.10.80.1).,"The DHCP pool advertises the wrong default-router option, handing clients a gateway address that does not exist on the segment.",10.10.80.20,255.255.255.0,10.10.80.254,10.10.80.1,255.255.255.0,up/up,80,80,n/a,False
C014,DNS,Medium,Layer 7,dns-server-unreachable,Users can ping the web server by IP but browsing by hostname fails.,Internal DNS server is 10.10.1.53.,PC nslookup intranet.local: Request timed out. PC ping 10.10.1.53: Request timed out. PC ping 10.10.5.20 (web server IP): success.,"The DNS server 10.10.1.53 is unreachable, so name resolution fails even though IP connectivity to the actual service is fine.",10.10.1.100,255.255.255.0,10.10.1.1,10.10.1.1,255.255.255.0,up/up,1,1,True,False
